"date","version_class","type","downloads"
"2026-04-21","other","sdist",290
"2026-04-22","1.25.0","bdist_wheel",283587
"2026-04-22","1.25.0","sdist",13
"2026-04-22","1.26.0","bdist_wheel",1084629
"2026-04-22","1.26.0","sdist",134
"2026-04-22","1.27.0","bdist_wheel",6177690
"2026-04-22","1.27.0","sdist",493
"2026-04-22","other","bdist_wheel",2826205
"2026-04-22","other","sdist",205
"2026-04-23","1.25.0","bdist_wheel",255232
"2026-04-23","1.25.0","sdist",45
"2026-04-23","1.26.0","bdist_wheel",1101831
"2026-04-23","1.26.0","sdist",153
"2026-04-23","1.27.0","bdist_wheel",5770107
"2026-04-23","1.27.0","sdist",305
"2026-04-23","other","bdist_wheel",2643443
"2026-04-23","other","sdist",116
"2026-04-24","1.25.0","bdist_wheel",246802
"2026-04-24","1.25.0","sdist",70
"2026-04-24","1.26.0","bdist_wheel",1019252
"2026-04-24","1.26.0","sdist",225
"2026-04-24","1.27.0","bdist_wheel",5641034
"2026-04-24","1.27.0","sdist",519
"2026-04-24","other","bdist_wheel",2657514
"2026-04-24","other","sdist",419
"2026-04-25","1.25.0","bdist_wheel",160606
"2026-04-25","1.25.0","sdist",12
"2026-04-25","1.26.0","bdist_wheel",556116
"2026-04-25","1.26.0","sdist",152
"2026-04-25","1.27.0","bdist_wheel",4118162
"2026-04-25","1.27.0","sdist",194
"2026-04-25","other","bdist_wheel",1973867
"2026-04-25","other","sdist",52
"2026-04-26","1.25.0","bdist_wheel",159129
"2026-04-26","1.25.0","sdist",22
"2026-04-26","1.26.0","bdist_wheel",566133
"2026-04-26","1.26.0","sdist",62
"2026-04-26","1.27.0","bdist_wheel",3321120
"2026-04-26","1.27.0","sdist",119
"2026-04-26","other","bdist_wheel",2034177
"2026-04-26","other","sdist",205
"2026-04-27","1.25.0","bdist_wheel",259471
"2026-04-27","1.25.0","sdist",50
"2026-04-27","1.26.0","bdist_wheel",982833
"2026-04-27","1.26.0","sdist",168
"2026-04-27","1.27.0","bdist_wheel",3575512
"2026-04-27","1.27.0","sdist",413
"2026-04-27","other","bdist_wheel",2640631
"2026-04-27","other","sdist",204
"2026-04-28","1.25.0","bdist_wheel",280708
"2026-04-28","1.25.0","sdist",25
"2026-04-28","1.26.0","bdist_wheel",1046413
"2026-04-28","1.26.0","sdist",240
"2026-04-28","1.27.0","bdist_wheel",3611401
"2026-04-28","1.27.0","sdist",793
"2026-04-28","other","bdist_wheel",2715218
"2026-04-28","other","sdist",174
"2026-04-29","1.25.0","bdist_wheel",292256
"2026-04-29","1.25.0","sdist",2
"2026-04-29","1.26.0","bdist_wheel",1033039
"2026-04-29","1.26.0","sdist",231
"2026-04-29","1.27.0","bdist_wheel",3657397
"2026-04-29","1.27.0","sdist",452
"2026-04-29","other","bdist_wheel",2718689
"2026-04-29","other","sdist",153
