"date","version","downloads"
"2026-07-02","1.18.0",66350
"2026-07-02","1.19.0",79568
"2026-07-02","1.2.0",2964
"2026-07-02","1.2.0rc1",11
"2026-07-02","1.2.1",2442
"2026-07-02","1.20.0",70407
"2026-07-02","1.21.0",68503
"2026-07-02","1.21.1",67583
"2026-07-02","1.21.2",68290
"2026-07-02","1.22.0",84285
"2026-07-02","1.23.0",88053
"2026-07-02","1.23.1",79948
"2026-07-02","1.23.2",71236
"2026-07-02","1.23.3",574588
"2026-07-02","1.24.0",201515
"2026-07-02","1.25.0",304164
"2026-07-02","1.26.0",1200406
"2026-07-02","1.27.0",521361
"2026-07-02","1.27.1",763664
"2026-07-02","1.27.2",458789
"2026-07-02","1.28.0",463757
"2026-07-02","1.28.1",5618432
"2026-07-02","1.3.0",3688
"2026-07-02","1.3.0rc1",9
"2026-07-02","1.4.0",3717
"2026-07-02","1.4.1",3474
"2026-07-02","1.5.0",4940
"2026-07-02","1.6.0",18592
"2026-07-02","1.7.0",2648
"2026-07-02","1.7.1",3065
"2026-07-02","1.8.0",3501
"2026-07-02","1.8.1",10571
"2026-07-02","1.9.0",13966
"2026-07-02","1.9.1",13704
"2026-07-02","1.9.2",15098
"2026-07-02","1.9.3",13954
"2026-07-02","1.9.4",43647
"2026-07-02","2.0.0a1",360
"2026-07-02","2.0.0a2",662
"2026-07-02","2.0.0a3",3494
"2026-07-02","2.0.0b1",12030
"2026-07-03","0.9.1",1813
"2026-07-03","1.0.0",1405
"2026-07-03","1.1.0",926
"2026-07-03","1.1.1",1295
"2026-07-03","1.1.2",1433
"2026-07-03","1.1.3",2350
"2026-07-03","1.10.0",10252
"2026-07-03","1.10.1",19247
"2026-07-03","1.11.0",14366
"2026-07-03","1.12.0",21877
"2026-07-03","1.12.1",32166
"2026-07-03","1.12.2",14557
"2026-07-03","1.12.3",11167
"2026-07-03","1.12.4",64131
"2026-07-03","1.13.0",17885
"2026-07-03","1.13.1",23215
"2026-07-03","1.14.0",18304
"2026-07-03","1.14.1",20406
"2026-07-03","1.15.0",19731
"2026-07-03","1.16.0",45477
"2026-07-03","1.17.0",20220
"2026-07-03","1.18.0",58938
"2026-07-03","1.19.0",71996
"2026-07-03","1.2.0",2519
"2026-07-03","1.2.0rc1",9
"2026-07-03","1.2.1",1654
"2026-07-03","1.20.0",64849
"2026-07-03","1.21.0",60427
"2026-07-03","1.21.1",60891
"2026-07-03","1.21.2",60907
"2026-07-03","1.22.0",74552
"2026-07-03","1.23.0",76679
"2026-07-03","1.23.1",69812
"2026-07-03","1.23.2",62854
"2026-07-03","1.23.3",534493
"2026-07-03","1.24.0",175999
"2026-07-03","1.25.0",259498
"2026-07-03","1.26.0",1014774
"2026-07-03","1.27.0",418622
"2026-07-03","1.27.1",635600
"2026-07-03","1.27.2",379093
"2026-07-03","1.28.0",395540
"2026-07-03","1.28.1",4760226
"2026-07-03","1.3.0",2330
"2026-07-03","1.3.0rc1",8
"2026-07-03","1.4.0",2287
"2026-07-03","1.4.1",3165
"2026-07-03","1.5.0",3233
"2026-07-03","1.6.0",15685
"2026-07-03","1.7.0",1982
"2026-07-03","1.7.1",2468
"2026-07-03","1.8.0",2680
"2026-07-03","1.8.1",8726
"2026-07-03","1.9.0",11668
"2026-07-03","1.9.1",11926
"2026-07-03","1.9.2",12820
"2026-07-03","1.9.3",11208
"2026-07-03","1.9.4",30158
"2026-07-03","2.0.0a1",367
"2026-07-03","2.0.0a2",563
"2026-07-03","2.0.0a3",1956
"2026-07-03","2.0.0b1",10177
"2026-07-04","0.9.1",772
"2026-07-04","1.0.0",1118
"2026-07-04","1.1.0",446
"2026-07-04","1.1.1",1083
"2026-07-04","1.1.2",1404
"2026-07-04","1.1.3",1530
"2026-07-04","1.10.0",5320
"2026-07-04","1.10.1",12260
"2026-07-04","1.11.0",7629
"2026-07-04","1.12.0",20495
"2026-07-04","1.12.1",34959
"2026-07-04","1.12.2",8263
"2026-07-04","1.12.3",5971
"2026-07-04","1.12.4",31781
"2026-07-04","1.13.0",11236
"2026-07-04","1.13.1",13686
"2026-07-04","1.14.0",11719
"2026-07-04","1.14.1",13161
"2026-07-04","1.15.0",11647
"2026-07-04","1.16.0",30837
"2026-07-04","1.17.0",13400
"2026-07-04","1.18.0",49612
"2026-07-04","1.19.0",55848
"2026-07-04","1.2.0",2910
"2026-07-04","1.2.0rc1",4
"2026-07-04","1.2.1",1007
"2026-07-04","1.20.0",51458
"2026-07-04","1.21.0",49865
"2026-07-04","1.21.1",51253
"2026-07-04","1.21.2",51454
"2026-07-04","1.22.0",61336
"2026-07-04","1.23.0",56875
"2026-07-04","1.23.1",54129
"2026-07-04","1.23.2",48421
"2026-07-04","1.23.3",372858
"2026-07-04","1.24.0",150610
"2026-07-04","1.25.0",185074
"2026-07-04","1.26.0",751894
"2026-07-04","1.27.0",273140
"2026-07-04","1.27.1",419405
"2026-07-04","1.27.2",265687
"2026-07-04","1.28.0",276245
"2026-07-04","1.28.1",3871645
"2026-07-04","1.3.0",1702
"2026-07-04","1.3.0rc1",1
"2026-07-04","1.4.0",1131
"2026-07-04","1.4.1",2718
"2026-07-04","1.5.0",3014
"2026-07-04","1.6.0",12345
"2026-07-04","1.7.0",1223
"2026-07-04","1.7.1",1816
"2026-07-04","1.8.0",1773
"2026-07-04","1.8.1",6113
"2026-07-04","1.9.0",6758
"2026-07-04","1.9.1",7641
"2026-07-04","1.9.2",8000
"2026-07-04","1.9.3",5500
"2026-07-04","1.9.4",19670
"2026-07-04","2.0.0a1",126
"2026-07-04","2.0.0a2",180
"2026-07-04","2.0.0a3",740
"2026-07-04","2.0.0b1",5984
"2026-07-05","0.9.1",788
"2026-07-05","1.0.0",862
"2026-07-05","1.1.0",569
"2026-07-05","1.1.1",1019
"2026-07-05","1.1.2",1162
"2026-07-05","1.1.3",1528
"2026-07-05","1.10.0",5796
"2026-07-05","1.10.1",12679
"2026-07-05","1.11.0",7333
"2026-07-05","1.12.0",21846
"2026-07-05","1.12.1",31908
"2026-07-05","1.12.2",9420
"2026-07-05","1.12.3",6468
"2026-07-05","1.12.4",28986
"2026-07-05","1.13.0",10912
"2026-07-05","1.13.1",13054
"2026-07-05","1.14.0",11310
"2026-07-05","1.14.1",13410
"2026-07-05","1.15.0",11124
"2026-07-05","1.16.0",30907
"2026-07-05","1.17.0",13370
"2026-07-05","1.18.0",48925
"2026-07-05","1.19.0",53942
"2026-07-05","1.2.0",2511
"2026-07-05","1.2.0rc1",3
"2026-07-05","1.2.1",1023
"2026-07-05","1.20.0",51433
"2026-07-05","1.21.0",49329
"2026-07-05","1.21.1",50648
"2026-07-05","1.21.2",50798
"2026-07-05","1.22.0",58786
"2026-07-05","1.23.0",57454
"2026-07-05","1.23.1",54109
"2026-07-05","1.23.2",47591
"2026-07-05","1.23.3",292879
"2026-07-05","1.24.0",168347
"2026-07-05","1.25.0",191085
"2026-07-05","1.26.0",706826
"2026-07-05","1.27.0",270252
"2026-07-05","1.27.1",448776
"2026-07-05","1.27.2",291156
"2026-07-05","1.28.0",210674
"2026-07-05","1.28.1",3352937
"2026-07-05","1.3.0",1646
"2026-07-05","1.3.0rc1",1
"2026-07-05","1.4.0",1066
"2026-07-05","1.4.1",2655
"2026-07-05","1.5.0",2119
"2026-07-05","1.6.0",12345
"2026-07-05","1.7.0",1092
"2026-07-05","1.7.1",1929
"2026-07-05","1.8.0",1694
"2026-07-05","1.8.1",6111
"2026-07-05","1.9.0",6744
"2026-07-05","1.9.1",7158
"2026-07-05","1.9.2",8487
"2026-07-05","1.9.3",5483
"2026-07-05","1.9.4",28706
"2026-07-05","2.0.0a1",78
"2026-07-05","2.0.0a2",189
