"date","version","downloads"
"2026-01-28","1.23.1",39600
"2026-01-28","1.23.2",149616
"2026-01-28","1.23.3",319008
"2026-01-28","1.24.0",74482
"2026-01-28","1.25.0",253805
"2026-01-28","1.26.0",1512338
"2026-01-28","1.3.0",1731
"2026-01-28","1.3.0rc1",6
"2026-01-28","1.4.0",1035
"2026-01-28","1.4.1",6672
"2026-01-28","1.5.0",3372
"2026-01-28","1.6.0",14795
"2026-01-28","1.7.0",5542
"2026-01-28","1.7.1",5981
"2026-01-28","1.8.0",6443
"2026-01-28","1.8.1",14993
"2026-01-28","1.9.0",9047
"2026-01-28","1.9.1",6985
"2026-01-28","1.9.2",8320
"2026-01-28","1.9.3",8542
"2026-01-28","1.9.4",35983
"2026-01-29","0.9.1",1309
"2026-01-29","1.0.0",5204
"2026-01-29","1.1.0",849
"2026-01-29","1.1.1",741
"2026-01-29","1.1.2",1794
"2026-01-29","1.1.3",2051
"2026-01-29","1.10.0",6890
"2026-01-29","1.10.1",13671
"2026-01-29","1.11.0",18024
"2026-01-29","1.12.0",10166
"2026-01-29","1.12.1",8981
"2026-01-29","1.12.2",21917
"2026-01-29","1.12.3",16854
"2026-01-29","1.12.4",103635
"2026-01-29","1.13.0",19663
"2026-01-29","1.13.1",48392
"2026-01-29","1.14.0",21678
"2026-01-29","1.14.1",22062
"2026-01-29","1.15.0",23729
"2026-01-29","1.16.0",75412
"2026-01-29","1.17.0",26160
"2026-01-29","1.18.0",22595
"2026-01-29","1.19.0",40451
"2026-01-29","1.2.0",1382
"2026-01-29","1.2.0rc1",10
"2026-01-29","1.2.1",1503
"2026-01-29","1.20.0",31148
"2026-01-29","1.21.0",28286
"2026-01-29","1.21.1",26567
"2026-01-29","1.21.2",27208
"2026-01-29","1.22.0",70504
"2026-01-29","1.23.0",42762
"2026-01-29","1.23.1",40857
"2026-01-29","1.23.2",99001
"2026-01-29","1.23.3",389838
"2026-01-29","1.24.0",77047
"2026-01-29","1.25.0",239302
"2026-01-29","1.26.0",1606748
"2026-01-29","1.3.0",1691
"2026-01-29","1.3.0rc1",10
"2026-01-29","1.4.0",1052
"2026-01-29","1.4.1",4165
"2026-01-29","1.5.0",2810
"2026-01-29","1.6.0",13109
"2026-01-29","1.7.0",6088
"2026-01-29","1.7.1",6528
"2026-01-29","1.8.0",6958
"2026-01-29","1.8.1",15169
"2026-01-29","1.9.0",8498
"2026-01-29","1.9.1",7514
"2026-01-29","1.9.2",12850
"2026-01-29","1.9.3",8648
"2026-01-29","1.9.4",35806
"2026-01-30","0.9.1",1140
"2026-01-30","1.0.0",4182
"2026-01-30","1.1.0",752
"2026-01-30","1.1.1",708
"2026-01-30","1.1.2",1673
"2026-01-30","1.1.3",1982
"2026-01-30","1.10.0",4793
"2026-01-30","1.10.1",10979
"2026-01-30","1.11.0",16093
"2026-01-30","1.12.0",8435
"2026-01-30","1.12.1",7422
"2026-01-30","1.12.2",21217
"2026-01-30","1.12.3",11696
"2026-01-30","1.12.4",93017
"2026-01-30","1.13.0",15880
"2026-01-30","1.13.1",67562
"2026-01-30","1.14.0",17726
"2026-01-30","1.14.1",19051
"2026-01-30","1.15.0",21417
"2026-01-30","1.16.0",67314
"2026-01-30","1.17.0",21470
"2026-01-30","1.18.0",18922
"2026-01-30","1.19.0",34428
"2026-01-30","1.2.0",1310
"2026-01-30","1.2.0rc1",6
"2026-01-30","1.2.1",1214
"2026-01-30","1.20.0",24832
"2026-01-30","1.21.0",23665
"2026-01-30","1.21.1",20745
"2026-01-30","1.21.2",22451
"2026-01-30","1.22.0",67577
"2026-01-30","1.23.0",35806
"2026-01-30","1.23.1",34468
"2026-01-30","1.23.2",82901
"2026-01-30","1.23.3",278363
"2026-01-30","1.24.0",61936
"2026-01-30","1.25.0",202589
"2026-01-30","1.26.0",1432494
"2026-01-30","1.3.0",1497
"2026-01-30","1.3.0rc1",9
"2026-01-30","1.4.0",929
"2026-01-30","1.4.1",5154
"2026-01-30","1.5.0",2454
"2026-01-30","1.6.0",10190
"2026-01-30","1.7.0",4095
"2026-01-30","1.7.1",4071
"2026-01-30","1.8.0",5117
"2026-01-30","1.8.1",12985
"2026-01-30","1.9.0",6464
"2026-01-30","1.9.1",5303
"2026-01-30","1.9.2",9440
"2026-01-30","1.9.3",6195
"2026-01-30","1.9.4",22730
"2026-01-31","0.9.1",495
"2026-01-31","1.0.0",3470
"2026-01-31","1.1.0",416
"2026-01-31","1.1.1",366
"2026-01-31","1.1.2",1167
"2026-01-31","1.1.3",1111
"2026-01-31","1.10.0",2411
"2026-01-31","1.10.1",5527
"2026-01-31","1.11.0",6810
"2026-01-31","1.12.0",4975
"2026-01-31","1.12.1",3495
"2026-01-31","1.12.2",7790
"2026-01-31","1.12.3",5807
"2026-01-31","1.12.4",31019
"2026-01-31","1.13.0",7941
"2026-01-31","1.13.1",21165
"2026-01-31","1.14.0",10032
"2026-01-31","1.14.1",11125
"2026-01-31","1.15.0",9520
"2026-01-31","1.16.0",36522
"2026-01-31","1.17.0",11151
"2026-01-31","1.18.0",9104
"2026-01-31","1.19.0",15490
"2026-01-31","1.2.0",961
"2026-01-31","1.2.0rc1",4
"2026-01-31","1.2.1",1054
"2026-01-31","1.20.0",10890
"2026-01-31","1.21.0",9317
"2026-01-31","1.21.1",10422
"2026-01-31","1.21.2",11078
"2026-01-31","1.22.0",29243
"2026-01-31","1.23.0",17919
"2026-01-31","1.23.1",15139
"2026-01-31","1.23.2",37721
"2026-01-31","1.23.3",125640
"2026-01-31","1.24.0",32302
"2026-01-31","1.25.0",101831
"2026-01-31","1.26.0",1044556
"2026-01-31","1.3.0",1087
"2026-01-31","1.3.0rc1",3
"2026-01-31","1.4.0",462
"2026-01-31","1.4.1",2603
"2026-01-31","1.5.0",2238
"2026-01-31","1.6.0",10082
"2026-01-31","1.7.0",2602
"2026-01-31","1.7.1",2271
"2026-01-31","1.8.0",2546
"2026-01-31","1.8.1",8229
"2026-01-31","1.9.0",3356
"2026-01-31","1.9.1",2689
"2026-01-31","1.9.2",5298
"2026-01-31","1.9.3",3126
"2026-01-31","1.9.4",12172
"2026-02-01","0.9.1",694
"2026-02-01","1.0.0",2564
"2026-02-01","1.1.0",561
"2026-02-01","1.1.1",484
"2026-02-01","1.1.2",1327
"2026-02-01","1.1.3",1320
"2026-02-01","1.10.0",3331
"2026-02-01","1.10.1",5407
"2026-02-01","1.11.0",7198
"2026-02-01","1.12.0",6030
"2026-02-01","1.12.1",4121
"2026-02-01","1.12.2",9265
"2026-02-01","1.12.3",7494
"2026-02-01","1.12.4",30818
"2026-02-01","1.13.0",10340
"2026-02-01","1.13.1",18429
"2026-02-01","1.14.0",11884
"2026-02-01","1.14.1",13994
"2026-02-01","1.15.0",11458
"2026-02-01","1.16.0",40595
"2026-02-01","1.17.0",11862
"2026-02-01","1.18.0",12381
"2026-02-01","1.19.0",16914
"2026-02-01","1.2.0",1061
"2026-02-01","1.2.0rc1",2
"2026-02-01","1.2.1",1030
"2026-02-01","1.20.0",14367
"2026-02-01","1.21.0",12258
"2026-02-01","1.21.1",12410
"2026-02-01","1.21.2",13474
"2026-02-01","1.22.0",30102
"2026-02-01","1.23.0",19635
"2026-02-01","1.23.1",16988
